label	cutoff	tp	tn	fp	fn	sensitivity	specificity	ppv	npv	fdr	accuracy	mcc	f1score	ref	dataset_filter	region	seed	method	tool
0.03	0.03	173721	2967770000	34230	100416	0.633701	0.999988	0.835394	0.999966	0.835394	0.999955	0.727571	0.720702	silva	human	bact_v4	1	de_novo	mothur
0.03	0.03	173238	2967770000	33637	100899	0.63194	0.999989	0.837404	0.999966	0.837404	0.999955	0.727432	0.720306	silva	human	bact_v4	2	de_novo	mothur
0.03	0.03	173615	2967770000	34356	100522	0.633315	0.999988	0.834804	0.999966	0.834804	0.999955	0.727092	0.720233	silva	human	bact_v4	3	de_novo	mothur
0.03	0.03	173468	2967770000	33972	100669	0.632779	0.999989	0.836232	0.999966	0.836232	0.999955	0.727405	0.720416	silva	human	bact_v4	4	de_novo	mothur
0.03	0.03	173497	2967770000	33800	100640	0.632884	0.999989	0.836949	0.999966	0.836949	0.999955	0.727778	0.720751	silva	human	bact_v4	5	de_novo	mothur
0.03	0.03	173945	2967770000	34388	100192	0.634519	0.999988	0.834937	0.999966	0.834937	0.999955	0.727841	0.72106	silva	human	bact_v4	6	de_novo	mothur
0.03	0.03	173622	2967770000	34006	100515	0.63334	0.999989	0.836217	0.999966	0.836217	0.999955	0.727722	0.720775	silva	human	bact_v4	7	de_novo	mothur
0.03	0.03	173422	2967770000	34362	100715	0.632611	0.999988	0.834626	0.999966	0.834626	0.999954	0.72661	0.719711	silva	human	bact_v4	8	de_novo	mothur
0.03	0.03	173833	2967770000	34407	100304	0.63411	0.999988	0.834772	0.999966	0.834772	0.999955	0.727534	0.720735	silva	human	bact_v4	9	de_novo	mothur
0.03	0.03	173810	2967770000	34255	100327	0.634026	0.999988	0.835364	0.999966	0.835364	0.999955	0.727744	0.720901	silva	human	bact_v4	10	de_novo	mothur
0.03	0.03	173405	2967770000	34166	100732	0.632549	0.999988	0.835401	0.999966	0.835401	0.999955	0.726912	0.719959	silva	human	bact_v4	11	de_novo	mothur
0.03	0.03	173523	2967770000	35222	100614	0.632979	0.999988	0.831268	0.999966	0.831268	0.999954	0.725358	0.718697	silva	human	bact_v4	12	de_novo	mothur
0.03	0.03	173631	2967770000	33979	100506	0.633373	0.999989	0.836333	0.999966	0.836333	0.999955	0.727791	0.720839	silva	human	bact_v4	13	de_novo	mothur
0.03	0.03	173738	2967770000	34289	100399	0.633763	0.999988	0.83517	0.999966	0.83517	0.999955	0.727509	0.720659	silva	human	bact_v4	14	de_novo	mothur
0.03	0.03	172721	2967770000	33478	101416	0.630054	0.999989	0.837642	0.999966	0.837642	0.999955	0.726449	0.719167	silva	human	bact_v4	15	de_novo	mothur
0.03	0.03	173646	2967770000	34303	100491	0.633428	0.999988	0.835041	0.999966	0.835041	0.999955	0.72726	0.720394	silva	human	bact_v4	16	de_novo	mothur
0.03	0.03	172826	2967770000	33228	101311	0.630437	0.999989	0.838741	0.999966	0.838741	0.999955	0.727147	0.719822	silva	human	bact_v4	17	de_novo	mothur
0.03	0.03	172378	2967770000	33432	101759	0.628802	0.999989	0.837559	0.999966	0.837559	0.999954	0.725691	0.718321	silva	human	bact_v4	18	de_novo	mothur
0.03	0.03	173755	2967770000	34005	100382	0.633825	0.999989	0.836326	0.999966	0.836326	0.999955	0.728048	0.721129	silva	human	bact_v4	19	de_novo	mothur
0.03	0.03	174328	2967770000	34618	99809	0.635916	0.999988	0.834321	0.999966	0.834321	0.999955	0.728373	0.721731	silva	human	bact_v4	20	de_novo	mothur
0.03	0.03	174730	2967770000	35417	99407	0.637382	0.999988	0.831466	0.999967	0.831466	0.999955	0.727963	0.721601	silva	human	bact_v4	21	de_novo	mothur
0.03	0.03	173775	2967770000	34375	100362	0.633898	0.999988	0.834855	0.999966	0.834855	0.999955	0.727449	0.720629	silva	human	bact_v4	22	de_novo	mothur
0.03	0.03	172781	2967770000	33389	101356	0.630272	0.999989	0.838051	0.999966	0.838051	0.999955	0.726753	0.719461	silva	human	bact_v4	23	de_novo	mothur
0.03	0.03	172863	2967770000	33374	101274	0.630572	0.999989	0.838176	0.999966	0.838176	0.999955	0.72698	0.719702	silva	human	bact_v4	24	de_novo	mothur
0.03	0.03	173058	2967770000	33438	101079	0.631283	0.999989	0.83807	0.999966	0.83807	0.999955	0.727343	0.720125	silva	human	bact_v4	25	de_novo	mothur
0.03	0.03	173381	2967770000	33907	100756	0.632461	0.999989	0.836426	0.999966	0.836426	0.999955	0.727307	0.720282	silva	human	bact_v4	26	de_novo	mothur
0.03	0.03	173602	2967770000	34225	100535	0.633267	0.999988	0.83532	0.999966	0.83532	0.999955	0.727289	0.720394	silva	human	bact_v4	27	de_novo	mothur
0.03	0.03	173396	2967770000	33881	100741	0.632516	0.999989	0.836542	0.999966	0.836542	0.999955	0.727389	0.720361	silva	human	bact_v4	28	de_novo	mothur
0.03	0.03	173508	2967770000	33869	100629	0.632924	0.999989	0.836679	0.999966	0.836679	0.999955	0.727684	0.720677	silva	human	bact_v4	29	de_novo	mothur
0.03	0.03	173572	2967770000	34234	100565	0.633158	0.999988	0.83526	0.999966	0.83526	0.999955	0.7272	0.720301	silva	human	bact_v4	30	de_novo	mothur
0.03	0.03	174106	2967770000	34700	100031	0.635106	0.999988	0.833817	0.999966	0.833817	0.999955	0.727689	0.721021	silva	human	bact_v4	31	de_novo	mothur
0.03	0.03	173224	2967770000	33839	100913	0.631888	0.999989	0.836576	0.999966	0.836576	0.999955	0.727043	0.719967	silva	human	bact_v4	32	de_novo	mothur
0.03	0.03	173439	2967770000	34207	100698	0.632673	0.999988	0.835263	0.999966	0.835263	0.999955	0.726923	0.719988	silva	human	bact_v4	33	de_novo	mothur
0.03	0.03	172823	2967770000	33438	101314	0.630426	0.999989	0.837885	0.999966	0.837885	0.999955	0.726769	0.719499	silva	human	bact_v4	34	de_novo	mothur
0.03	0.03	174423	2967770000	35442	99714	0.636262	0.999988	0.83112	0.999966	0.83112	0.999954	0.727172	0.720753	silva	human	bact_v4	35	de_novo	mothur
0.03	0.03	172964	2967770000	33484	101173	0.63094	0.999989	0.837809	0.999966	0.837809	0.999955	0.727033	0.719806	silva	human	bact_v4	36	de_novo	mothur
0.03	0.03	173766	2967770000	34596	100371	0.633866	0.999988	0.833962	0.999966	0.833962	0.999955	0.727041	0.720275	silva	human	bact_v4	37	de_novo	mothur
0.03	0.03	173747	2967770000	33925	100390	0.633796	0.999989	0.836641	0.999966	0.836641	0.999955	0.728168	0.721228	silva	human	bact_v4	38	de_novo	mothur
0.03	0.03	172154	2967780000	32428	101983	0.627985	0.999989	0.841491	0.999966	0.841491	0.999955	0.726921	0.719228	silva	human	bact_v4	39	de_novo	mothur
0.03	0.03	173596	2967770000	34090	100541	0.633245	0.999989	0.835858	0.999966	0.835858	0.999955	0.727511	0.72058	silva	human	bact_v4	40	de_novo	mothur
0.03	0.03	174168	2967770000	34520	99969	0.635332	0.999988	0.834586	0.999966	0.834586	0.999955	0.728154	0.721454	silva	human	bact_v4	41	de_novo	mothur
0.03	0.03	173409	2967770000	33745	100728	0.632563	0.999989	0.837102	0.999966	0.837102	0.999955	0.72766	0.720599	silva	human	bact_v4	42	de_novo	mothur
0.03	0.03	173481	2967770000	33747	100656	0.632826	0.999989	0.83715	0.999966	0.83715	0.999955	0.727832	0.720788	silva	human	bact_v4	43	de_novo	mothur
0.03	0.03	173941	2967770000	34357	100196	0.634504	0.999988	0.835058	0.999966	0.835058	0.999955	0.727885	0.721096	silva	human	bact_v4	44	de_novo	mothur
0.03	0.03	172028	2967770000	32511	102109	0.627526	0.999989	0.841052	0.999966	0.841052	0.999955	0.726465	0.718766	silva	human	bact_v4	45	de_novo	mothur
0.03	0.03	173807	2967770000	34292	100330	0.634015	0.999988	0.835213	0.999966	0.835213	0.999955	0.727672	0.720838	silva	human	bact_v4	46	de_novo	mothur
0.03	0.03	173734	2967770000	34236	100403	0.633749	0.999988	0.83538	0.999966	0.83538	0.999955	0.727592	0.720728	silva	human	bact_v4	47	de_novo	mothur
0.03	0.03	174741	2967770000	35503	99396	0.637422	0.999988	0.831134	0.999967	0.831134	0.999955	0.727841	0.721502	silva	human	bact_v4	48	de_novo	mothur
0.03	0.03	172946	2967770000	33438	101191	0.630874	0.999989	0.837982	0.999966	0.837982	0.999955	0.72707	0.719827	silva	human	bact_v4	49	de_novo	mothur
0.03	0.03	172729	2967770000	33037	101408	0.630083	0.999989	0.839444	0.999966	0.839444	0.999955	0.727247	0.71985	silva	human	bact_v4	50	de_novo	mothur
0.03	0.03	173414	2967770000	33837	100723	0.632582	0.999989	0.836734	0.999966	0.836734	0.999955	0.727511	0.720475	silva	human	bact_v4	51	de_novo	mothur
0.03	0.03	173106	2967770000	33662	101031	0.631458	0.999989	0.837199	0.999966	0.837199	0.999955	0.727066	0.719918	silva	human	bact_v4	52	de_novo	mothur
0.03	0.03	172666	2967770000	33316	101471	0.629853	0.999989	0.838258	0.999966	0.838258	0.999955	0.7266	0.719263	silva	human	bact_v4	53	de_novo	mothur
0.03	0.03	173295	2967770000	33802	100842	0.632147	0.999989	0.836782	0.999966	0.836782	0.999955	0.727282	0.720211	silva	human	bact_v4	54	de_novo	mothur
0.03	0.03	174774	2967770000	35378	99363	0.637543	0.999988	0.831655	0.999967	0.831655	0.999955	0.728138	0.721776	silva	human	bact_v4	55	de_novo	mothur
0.03	0.03	172690	2967770000	32813	101447	0.629941	0.999989	0.840328	0.999966	0.840328	0.999955	0.727548	0.720082	silva	human	bact_v4	56	de_novo	mothur
0.03	0.03	173195	2967770000	33393	100942	0.631783	0.999989	0.838359	0.999966	0.838359	0.999955	0.727757	0.720557	silva	human	bact_v4	57	de_novo	mothur
0.03	0.03	173829	2967770000	34489	100308	0.634095	0.999988	0.834441	0.999966	0.834441	0.999955	0.72738100000000006	0.720602	silva	human	bact_v4	58	de_novo	mothur
0.03	0.03	174180	2967770000	35120	99957	0.635376	0.999988	0.832203	0.999966	0.832203	0.999954	0.727138	0.72059	silva	human	bact_v4	59	de_novo	mothur
0.03	0.03	172908	2967770000	33441	101229	0.630736	0.999989	0.83794	0.999966	0.83794	0.999955	0.726971	0.719721	silva	human	bact_v4	60	de_novo	mothur
0.03	0.03	173586	2967770000	34204	100551	0.633209	0.999988	0.835392	0.999966	0.835392	0.999955	0.727287	0.720383	silva	human	bact_v4	61	de_novo	mothur
0.03	0.03	172789	2967770000	33077	101348	0.630302	0.999989	0.839328	0.999966	0.839328	0.999955	0.727323	0.71995	silva	human	bact_v4	62	de_novo	mothur
0.03	0.03	173950	2967770000	34426	100187	0.634537	0.999988	0.834789	0.999966	0.834789	0.999955	0.727787	0.721017	silva	human	bact_v4	63	de_novo	mothur
0.03	0.03	173939	2967770000	34203	100198	0.634497	0.999988	0.835675	0.999966	0.835675	0.999955	0.72815	0.721321	silva	human	bact_v4	64	de_novo	mothur
0.03	0.03	172560	2967770000	33063	101577	0.629466	0.999989	0.839206	0.999966	0.839206	0.999955	0.726788	0.71936	silva	human	bact_v4	65	de_novo	mothur
0.03	0.03	173027	2967770000	33340	101110	0.63117	0.999989	0.838443	0.999966	0.838443	0.999955	0.72744	0.72019	silva	human	bact_v4	66	de_novo	mothur
0.03	0.03	173970	2967770000	34280	100167	0.63461	0.999988	0.83539	0.999966	0.83539	0.999955	0.72809	0.721288	silva	human	bact_v4	67	de_novo	mothur
0.03	0.03	173407	2967770000	33870	100730	0.632556	0.999989	0.836595	0.999966	0.836595	0.999955	0.727436	0.720407	silva	human	bact_v4	68	de_novo	mothur
0.03	0.03	174069	2967770000	34629	100068	0.634971	0.999988	0.834071	0.999966	0.834071	0.999955	0.727722	0.721029	silva	human	bact_v4	69	de_novo	mothur
0.03	0.03	172907	2967770000	33151	101230	0.630732	0.999989	0.839118	0.999966	0.839118	0.999955	0.72748	0.720153	silva	human	bact_v4	70	de_novo	mothur
0.03	0.03	173164	2967770000	33453	100973	0.63167	0.999989	0.838092	0.999966	0.838092	0.999955	0.727575	0.720385	silva	human	bact_v4	71	de_novo	mothur
0.03	0.03	173928	2967770000	34457	100209	0.634456	0.999988	0.834647	0.999966	0.834647	0.999955	0.727679	0.720912	silva	human	bact_v4	72	de_novo	mothur
0.03	0.03	174059	2967770000	34476	100078	0.634934	0.999988	0.834675	0.999966	0.834675	0.999955	0.727965	0.721231	silva	human	bact_v4	73	de_novo	mothur
0.03	0.03	172606	2967770000	32915	101531	0.629634	0.999989	0.839846	0.999966	0.839846	0.999955	0.727162	0.719704	silva	human	bact_v4	74	de_novo	mothur
0.03	0.03	173280	2967770000	33721	100857	0.632093	0.999989	0.837097	0.999966	0.837097	0.999955	0.727387	0.720292	silva	human	bact_v4	75	de_novo	mothur
0.03	0.03	173604	2967770000	34011	100533	0.633275	0.999989	0.836182	0.999966	0.836182	0.999955	0.727669	0.720719	silva	human	bact_v4	76	de_novo	mothur
0.03	0.03	173803	2967770000	34556	100334	0.634001	0.999988	0.834152	0.999966	0.834152	0.999955	0.727201	0.720433	silva	human	bact_v4	77	de_novo	mothur
0.03	0.03	173129	2967770000	33667	101008	0.631542	0.999989	0.837197	0.999966	0.837197	0.999955	0.727113	0.719971	silva	human	bact_v4	78	de_novo	mothur
0.03	0.03	173593	2967770000	34334	100544	0.633234	0.999988	0.834875	0.999966	0.834875	0.999955	0.727077	0.720207	silva	human	bact_v4	79	de_novo	mothur
0.03	0.03	172949	2967770000	33774	101188	0.630885	0.999989	0.836622	0.999966	0.836622	0.999955	0.726486	0.719332	silva	human	bact_v4	80	de_novo	mothur
0.03	0.03	173877	2967770000	34555	100260	0.63427	0.999988	0.834215	0.999966	0.834215	0.999955	0.727383	0.720631	silva	human	bact_v4	81	de_novo	mothur
0.03	0.03	173696	2967770000	35005	100441	0.63361	0.999988	0.832272	0.999966	0.832272	0.999954	0.726158	0.719479	silva	human	bact_v4	82	de_novo	mothur
0.03	0.03	173616	2967770000	33975	100521	0.633318	0.999989	0.836337	0.999966	0.836337	0.999955	0.727761	0.720805	silva	human	bact_v4	83	de_novo	mothur
0.03	0.03	172616	2967770000	33350	101521	0.629671	0.999989	0.83808	0.999966	0.83808	0.999955	0.726418	0.719079	silva	human	bact_v4	84	de_novo	mothur
0.03	0.03	174360	2967770000	35048	99777	0.636032	0.999988	0.832633	0.999966	0.832633	0.999955	0.727702	0.721174	silva	human	bact_v4	85	de_novo	mothur
0.03	0.03	174260	2967770000	34571	99877	0.635668	0.999988	0.834455	0.999966	0.834455	0.999955	0.728289	0.721621	silva	human	bact_v4	86	de_novo	mothur
